Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,totalsc,gender,age,source,country
4,4,4,3,4,3,3,3,2,3,33,1,36,1,US
2,3,3,3,2,3,2,2,2,2,24,2,22,1,US
4,3,3,3,3,3,2,2,2,2,27,1,31,1,US
4,4,4,4,4,4,4,4,4,4,40,1,30,1,EU
4,4,4,3,4,3,4,3,3,4,36,2,25,1,CA
4,4,3,4,3,2,3,1,2,2,28,1,32,1,US
1,1,1,1,1,1,1,4,1,1,13,1,51,3,US
4,4,3,4,4,4,3,4,4,4,38,1,37,1,US
3,4,4,3,3,3,3,3,4,4,34,2,41,1,US
4,4,2,4,2,3,2,3,2,2,28,1,42,1,US
3,3,2,3,2,2,3,2,1,1,22,2,31,1,SE
3,4,2,3,2,1,1,1,2,4,23,2,31,3,GB
4,4,4,3,4,4,4,4,4,4,39,1,27,3,US
3,4,3,3,2,2,1,3,1,2,24,1,29,3,GB
4,4,4,4,4,4,4,3,4,4,39,1,18,3,GB
2,3,1,4,2,2,2,1,1,1,19,2,19,3,NZ
2,2,2,2,3,2,2,2,2,2,21,1,19,3,CA
4,4,3,3,2,2,2,2,2,2,26,1,28,3,DE
3,3,2,2,2,2,2,2,3,2,23,2,34,3,AE
4,4,4,3,2,3,2,2,1,1,26,2,51,3,US
2,3,1,3,2,1,1,1,2,2,18,2,22,3,BE
3,3,1,3,2,3,4,1,3,3,26,1,54,3,GB
3,3,2,2,2,3,3,3,1,2,24,1,27,1,DE
3,2,1,3,1,2,1,1,1,1,16,1,26,3,US
3,3,3,3,3,2,2,2,2,2,25,2,33,3,GB
4,4,4,4,4,4,4,4,4,1,37,1,25,3,IN
4,4,4,4,4,3,4,3,4,4,38,1,38,1,US
4,4,4,4,4,3,4,4,4,4,39,2,46,1,US
3,4,4,4,3,4,3,3,1,4,33,1,33,1,US
1,1,1,2,1,1,1,1,1,1,11,1,19,1,US
2,3,3,3,2,1,2,1,2,2,21,1,23,3,US
2,3,1,2,2,1,2,1,4,4,22,2,35,3,US
